"Partner Countries","1998-01-01+Sum(Export Value)","2018-01-01+Sum(Export Value)","2015-01-01+Sum(Export Value)","2001-01-01+Sum(Export Value)","2002-01-01+Sum(Export Value)","2007-01-01+Sum(Export Value)","2009-01-01+Sum(Export Value)","2010-01-01+Sum(Export Value)","2011-01-01+Sum(Export Value)","2013-01-01+Sum(Export Value)","2014-01-01+Sum(Export Value)","2016-01-01+Sum(Export Value)","2019-01-01+Sum(Export Value)","2020-01-01+Sum(Export Value)","2021-01-01+Sum(Export Value)","2022-01-01+Sum(Export Value)","2023-01-01+Sum(Export Value)","2024-01-01+Sum(Export Value)","1992-01-01+Sum(Export Value)","1997-01-01+Sum(Export Value)","1989-01-01+Sum(Export Value)","2003-01-01+Sum(Export Value)","2008-01-01+Sum(Export Value)","2017-01-01+Sum(Export Value)","1986-01-01+Sum(Export Value)","1987-01-01+Sum(Export Value)","1988-01-01+Sum(Export Value)","1993-01-01+Sum(Export Value)","Cluster","PCA dimension 0"
"Eswatini",0,0.001152927612616322,0.00781503539132189,0,0,0.0006716272822071793,0.04980535396741482,0.018734404832860218,0.040070324518350305,0.01579932303224289,0.0012318937885696603,0.000011874792191136656,0.00017888258014933382,0.0007263684042055499,0.00772576770758943,0.0017391183365680935,0,0,0.005745736059029878,0,0,0,0.025875376095582787,0,0,0.0021908090344791614,0,0,"cluster_1",0.1485181635250615
"Ethiopia",0,0,0.0009209637666540948,0,0,0,0.000014418224635939829,0,0,0,0.000017515077562601806,0.0002968698047784164,0,0.000030778322212099574,0.000007213601967870617,0,0,0,0,0.0005408328826392644,0,0,0,0.0000773582667622471,0,0,0,0,"cluster_1",0.1865912325047357
"Ethiopia PDR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016986580601324953,0,0,0,"cluster_1",0.18696164254284675
"Fiji",0.0007440058397439497,0.001115494897920987,0.0003771565901535817,0.0018976897689768977,0.0018373909049150207,0.0007865108962689338,0.0004998317873792474,0.0009950600571780703,0.0018405245036993627,0.0005726615467997423,0.000449553657440113,0.0006946753431814944,0.0007354061628361501,0.00047398616206633347,0.0007285737987549323,0,0.000786684870944672,0.0005652784696064878,0,0.0009164112733609758,0,0.00185965311776538,0.00040988967862904985,0.0004589923827893328,0,0,0,0,"cluster_1",0.18296873485454243
"Finland",0.012999045426469761,0,0.01712115497627422,0.004311056105610561,0.0028359729184557927,0.0015376729882111738,0.002994184649396838,0.007808948469021811,0.004257929821991063,0.009408011125995767,0.01734576514616332,0,0,0,0.0017601188801604304,0.0014817288227560157,0.07921461543462714,0,0.009616547719850007,0.010185685956372814,0.01358626495174331,0.008083798246612775,0.002223869532987398,0,0.018787158145065395,0.007789543233703685,0.018797556531990143,0,"cluster_1",0.14224996501371262
"France",0.12000954573530237,0.006550725071683648,0.019655998105445965,0.1304661716171617,0.10782688582213257,0.08583573410629386,0.025145383765079063,0.05253614037923406,0.09293275217932752,0.07192015461861764,0.032467115441876214,0.0017634066403837934,0.029522251005386354,0.0031640115234038363,0.003556305770160214,0.0028104152318940393,0.0011312658474741564,0.001136153755743733,0.18770412483367607,0.1416381227089718,0.17243201973336467,0.3653079813275646,0.0690097239785462,0.006745640861667948,0.136487175131646,0.14382835185088588,0.2057014253563391,0,"cluster_1",-0.26735448439026077
"Gabon",0.0007720815318097591,0,0,0,0.0007988656108326176,0.0007423248908605667,0.0001393761714807517,0,0.00033880301809391253,0,0,0,0,0,0,0,0,0,0.002676303374863917,0.0016675680548043986,0.0037000058730251952,0,0.00027035276675533074,0,0.006285034822490232,0.00226035852763723,0,0,"cluster_1",0.18394056988379648
"Gambia",0.003734067044752653,0,0,0.013655115511551155,0.0014379580994987118,0.0002739532335318758,0.002696208006920748,0,0,0.000040904396199981596,0,0,0,0,0,0,0,0,0.008663965162695053,0.010005408328826392,0.02550850609815783,0.0006262097233291586,0,0,0.0055036521148292845,0.021403856519395616,0.017661558246704533,0,"cluster_1",0.1680575492102228
"Georgia",0,0.0004491925763440216,0.00009648191841138136,0.001877062706270627,0,0,0.0012255490940548854,0.0010607239188192628,0.0076093326496227374,0.002055445909049075,0.005657370052720383,0.0003384315774473947,0.0003445145988061244,0.0027331150124344423,0.0048042589106018305,0.007464295900550258,0.0056498277095117354,0.003458832616008015,0,0,0,0.002277126266651486,0,0.0010778585168873095,0,0,0,0,"cluster_1",0.17752637984298708
"Germany",0.7880285249031388,0.29863071129644464,0.40753962336967486,0.9626031353135314,0.8664696131493279,0.44557167853797347,0.18320276829913013,0.46982493004273207,0.4196945278734158,0.44726912024869875,0.2747823751612847,0.3150144872464732,0.16239225637186375,0.11905055031640116,0.22208516378483267,0.19972034977147987,0.16229763994538718,0.18320059550127887,0.9171101971694691,0.8183402439757226,0,0.8049072071046339,0.31253651942615446,0.2564478115346333,0,0,0,0,"cluster_2",-1.920957722493795
"Ghana",0,0.000037432714695335137,0.000043855417459718804,0.000041254125412541255,0.00023965968324978528,0,0,0,0,0,0,0.00002374958438227331,0.00041076740626884065,0.001532760446162559,0.02352355601722608,0.0012660781490215721,0,0,0,0,0,0,0,0,0.0006454900628503482,0,0,0,"cluster_1",0.1822579426765173
"Greece",0.00920882699758549,0.015145276365732594,0.04947768197805475,0.0566006600660066,0.10349303988336561,0.03744322098305025,0.04695535156437738,0.05816807928153633,0.08840927404585744,0.07737066541226519,0.0703989350832842,0.028808245855697526,0.018312275982694765,0.028962401201585698,0.02129455300915406,0.03699452525547649,0.030999284831935505,0.06708903975418783,0.005261884601427362,0.052881437413616963,0.019048178383351932,0.10068693309043987,0.08441111062660794,0.029267210925050153,0.02738236792933582,0.03755672630535705,0.01956917800878791,0,"cluster_1",-0.06348323082517607
"Grenada",0,0,0,0,0,0.0002120928259601619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cluster_1",0.1869386490747927
"Guatemala",0.0006457409175136167,0,0,0.0008044554455445544,0.0003794611651454934,0.011956733063504128,0.0018503388282789448,0.0015910858782288942,0.008158742949234488,0,0,0,0,0,0,0,0,0.000022387266123029223,0,0.001382128477855898,0,0.0029033359899806443,0.0038111019055509527,0,0,0,0,0,"cluster_1",0.1792695394226989
